timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,grid.py_pid,grid.py_cpu_pct,grid.py_rss_mb
1782664256.6561677,2026-06-28T16:30:56Z,1.3,554.4,3394.1,2434,0.0,15.0
1782664261.6569023,2026-06-28T16:31:01Z,1.2,552.5,3395.9,2434,0.0,15.0
1782664266.6599607,2026-06-28T16:31:06Z,1.0,552.8,3395.7,2434,0.0,15.0
1782664271.6607003,2026-06-28T16:31:11Z,1.3,552.8,3395.7,2434,0.0,15.0
1782664276.661446,2026-06-28T16:31:16Z,1.3,550.9,3397.5,2434,0.0,15.0
1782664281.6632252,2026-06-28T16:31:21Z,1.3,551.5,3396.9,2434,0.0,15.0
1782664286.663857,2026-06-28T16:31:26Z,1.1,550.6,3397.8,2434,0.0,15.0
1782664291.6668391,2026-06-28T16:31:31Z,1.3,549.8,3398.5,2434,0.0,15.0
1782664296.6675673,2026-06-28T16:31:36Z,1.2,549.5,3398.8,2434,0.0,15.0
1782664301.6682851,2026-06-28T16:31:41Z,1.3,549.7,3398.6,2434,0.0,15.0
1782664306.6689405,2026-06-28T16:31:46Z,1.0,549.5,3398.9,2434,0.0,15.0
1782664311.6696532,2026-06-28T16:31:51Z,1.3,549.2,3399.1,2434,0.0,15.0
1782664316.670367,2026-06-28T16:31:56Z,1.3,549.7,3398.6,2434,0.0,15.0
1782664321.6710606,2026-06-28T16:32:01Z,1.3,549.9,3398.4,2434,0.0,15.0
1782664326.6716695,2026-06-28T16:32:06Z,1.0,557.8,3390.5,2434,0.0,15.0
1782664331.6724048,2026-06-28T16:32:11Z,1.4,555.7,3392.5,2434,0.2,15.0
1782664336.6731176,2026-06-28T16:32:16Z,1.3,552.9,3395.3,2434,0.0,15.0
1782664341.673837,2026-06-28T16:32:21Z,1.3,558.7,3389.5,2434,0.0,15.0
1782664346.6745675,2026-06-28T16:32:26Z,1.1,560.6,3387.6,2434,0.0,15.0
1782664351.6752887,2026-06-28T16:32:31Z,1.2,563.2,3385.0,2434,0.0,15.0
1782664356.6760101,2026-06-28T16:32:36Z,1.4,555.0,3393.1,2434,0.0,15.0
1782664361.6815484,2026-06-28T16:32:41Z,1.3,551.7,3396.4,2434,0.0,15.0
1782664366.6823366,2026-06-28T16:32:46Z,1.2,551.0,3397.2,2434,0.0,15.0
1782664371.6830893,2026-06-28T16:32:51Z,1.2,553.0,3395.1,2434,0.0,15.0
1782664376.6838105,2026-06-28T16:32:56Z,1.3,553.0,3395.5,2434,0.0,15.0
1782664381.684536,2026-06-28T16:33:01Z,1.3,552.0,3396.4,2434,0.0,15.0
1782664386.6852703,2026-06-28T16:33:06Z,1.2,552.0,3396.5,2434,0.0,15.0
1782664391.685909,2026-06-28T16:33:11Z,1.1,552.0,3396.5,2434,0.0,15.0
1782664396.6866632,2026-06-28T16:33:16Z,1.3,550.8,3397.7,2434,0.0,15.0
1782664401.6874132,2026-06-28T16:33:21Z,1.4,551.2,3397.3,2434,0.2,15.0
1782664406.693922,2026-06-28T16:33:26Z,1.3,550.0,3398.5,2434,0.0,15.0
1782664411.6945922,2026-06-28T16:33:31Z,1.0,550.7,3397.8,2434,0.0,15.0
1782664416.6986325,2026-06-28T16:33:36Z,1.3,551.0,3397.5,2434,0.0,15.0
1782664421.6994023,2026-06-28T16:33:41Z,1.3,551.6,3396.9,2434,0.0,15.0
1782664426.7021782,2026-06-28T16:33:46Z,1.3,550.5,3398.0,2434,0.0,15.0
1782664431.7029366,2026-06-28T16:33:51Z,1.1,549.8,3398.7,2434,0.0,15.0
1782664436.7036843,2026-06-28T16:33:56Z,1.3,549.4,3399.1,2434,0.0,15.0
1782664441.704413,2026-06-28T16:34:01Z,1.3,549.6,3398.8,2434,0.0,15.0
1782664446.7051535,2026-06-28T16:34:06Z,1.4,549.4,3399.0,2434,0.0,15.0
1782664451.705903,2026-06-28T16:34:11Z,1.1,549.8,3398.6,2434,0.0,15.0
1782664456.7066739,2026-06-28T16:34:16Z,1.3,550.5,3397.9,2434,0.0,15.0
1782664461.7074049,2026-06-28T16:34:21Z,1.3,551.7,3396.7,2434,0.0,15.0
1782664466.7108066,2026-06-28T16:34:26Z,1.3,552.5,3395.9,2434,0.0,15.0
1782664471.7115076,2026-06-28T16:34:31Z,1.3,553.5,3394.9,2434,0.0,15.0
1782664476.7121396,2026-06-28T16:34:36Z,1.1,550.7,3397.7,2434,0.0,15.0
1782664481.712862,2026-06-28T16:34:41Z,1.3,550.7,3397.7,2434,0.2,15.0
1782664486.713651,2026-06-28T16:34:46Z,1.3,551.0,3397.3,2434,0.0,15.0
1782664491.7144036,2026-06-28T16:34:51Z,1.4,559.5,3388.8,2434,0.0,15.0
1782664496.715046,2026-06-28T16:34:56Z,1.1,555.9,3392.6,2434,0.0,15.0
1782664501.7173023,2026-06-28T16:35:01Z,1.2,555.2,3393.3,2434,0.0,15.0
1782664506.7180436,2026-06-28T16:35:06Z,1.4,556.5,3392.0,2434,0.0,15.0
1782664511.718788,2026-06-28T16:35:11Z,1.2,553.4,3395.2,2434,0.0,15.0
1782664516.7194333,2026-06-28T16:35:16Z,1.1,552.8,3395.7,2434,0.0,15.0
1782664521.7201543,2026-06-28T16:35:21Z,1.3,552.4,3396.1,2434,0.2,15.0
1782664526.7208712,2026-06-28T16:35:26Z,1.2,550.5,3398.0,2434,0.0,15.0
1782664531.7216005,2026-06-28T16:35:31Z,1.3,550.7,3397.8,2434,0.0,15.0
1782664536.722288,2026-06-28T16:35:36Z,1.1,550.3,3398.2,2434,0.0,15.0
1782664541.7230203,2026-06-28T16:35:41Z,1.4,551.4,3397.2,2434,0.0,15.0
1782664546.7237537,2026-06-28T16:35:46Z,1.3,550.8,3397.7,2434,0.0,15.0
