timestamp_unix,timestamp_iso,cmd,setpoint_kw,latency_ms
1782665179.903,2026-06-28T17:46:19,LOWER,5.00,452.881
1782665183.649,2026-06-28T17:46:23,HIGHER,0.00,111.317
1782665187.830,2026-06-28T17:46:27,LOWER,5.00,204.035
1782665192.379,2026-06-28T17:46:32,HIGHER,0.00,661.754
1782665196.091,2026-06-28T17:46:36,HIGHER,-10.00,277.631
1782665199.913,2026-06-28T17:46:39,LOWER,-5.00,6.345
1782665204.097,2026-06-28T17:46:44,LOWER,0.00,102.584
1782665208.683,2026-06-28T17:46:48,LOWER,5.00,593.864
1782665212.332,2026-06-28T17:46:52,LOWER,10.00,198.453
1782665216.525,2026-06-28T17:46:56,HIGHER,0.00,296.149
1782665220.579,2026-06-28T17:47:00,HIGHER,-10.00,352.241
1782665224.336,2026-06-28T17:47:04,LOWER,-5.00,9.223
1782665228.566,2026-06-28T17:47:08,LOWER,0.00,240.148
1782665232.667,2026-06-28T17:47:12,LOWER,5.00,243.982
1782665236.767,2026-06-28T17:47:16,HIGHER,0.00,251.762
1782665240.848,2026-06-28T17:47:20,LOWER,5.00,241.599
1782665245.001,2026-06-28T17:47:25,LOWER,10.00,339.661
1782665249.084,2026-06-28T17:47:29,HIGHER,0.00,324.299
1782665253.181,2026-06-28T17:47:33,LOWER,5.00,327.583
1782665257.231,2026-06-28T17:47:37,HIGHER,0.00,280.357
1782665261.374,2026-06-28T17:47:41,LOWER,5.00,326.959
1782665265.511,2026-06-28T17:47:45,HIGHER,0.00,373.961
1782665269.585,2026-06-28T17:47:49,LOWER,5.00,354.060
1782665273.676,2026-06-28T17:47:53,HIGHER,0.00,358.505
1782665277.735,2026-06-28T17:47:57,LOWER,5.00,323.709
1782665281.892,2026-06-28T17:48:01,HIGHER,0.00,381.781
1782665286.377,2026-06-28T17:48:06,LOWER,5.00,817.711
1782665290.102,2026-06-28T17:48:10,LOWER,10.00,452.306
1782665294.174,2026-06-28T17:48:14,HIGHER,0.00,423.931
1782665298.275,2026-06-28T17:48:18,LOWER,5.00,435.028
1782665302.023,2026-06-28T17:48:22,HIGHER,0.00,90.412
1782665306.075,2026-06-28T17:48:26,HIGHER,-10.00,44.180
1782665310.172,2026-06-28T17:48:30,LOWER,-5.00,147.743
1782665314.306,2026-06-28T17:48:34,LOWER,0.00,187.981
1782665318.411,2026-06-28T17:48:38,LOWER,5.00,198.656
1782665322.519,2026-06-28T17:48:42,LOWER,10.00,256.846
1782665326.599,2026-06-28T17:48:46,HIGHER,0.00,244.935
1782665330.680,2026-06-28T17:48:50,HIGHER,-10.00,230.138
1782665334.767,2026-06-28T17:48:54,LOWER,-5.00,224.438
1782665338.915,2026-06-28T17:48:58,LOWER,0.00,279.995
1782665343.081,2026-06-28T17:49:03,LOWER,5.00,353.281
1782665347.197,2026-06-28T17:49:07,HIGHER,0.00,373.597
1782665351.649,2026-06-28T17:49:11,LOWER,5.00,739.554
1782665355.380,2026-06-28T17:49:15,HIGHER,0.00,380.130
1782665359.497,2026-06-28T17:49:19,LOWER,5.00,404.022
