timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663721.818,2026-06-28T17:22:01,rx,64,8547,7513
1782663722.032,2026-06-28T17:22:02,tx,41,8547,7554
1782663722.261,2026-06-28T17:22:02,rx,64,8611,7554
1782663722.531,2026-06-28T17:22:02,tx,41,8611,7595
1782663722.794,2026-06-28T17:22:02,rx,64,8675,7595
1782663723.026,2026-06-28T17:22:03,tx,41,8675,7636
1782663723.270,2026-06-28T17:22:03,rx,64,8739,7636
1782663723.540,2026-06-28T17:22:03,tx,41,8739,7677
1782663723.828,2026-06-28T17:22:03,rx,64,8803,7677
1782663724.094,2026-06-28T17:22:04,tx,41,8803,7718
1782663724.331,2026-06-28T17:22:04,rx,64,8867,7718
1782663724.541,2026-06-28T17:22:04,tx,41,8867,7759
1782663724.827,2026-06-28T17:22:04,rx,64,8931,7759
1782663725.083,2026-06-28T17:22:05,tx,41,8931,7800
1782663725.307,2026-06-28T17:22:05,rx,64,8995,7800
1782663725.522,2026-06-28T17:22:05,tx,41,8995,7841
1782663725.795,2026-06-28T17:22:05,rx,64,9059,7841
1782663726.096,2026-06-28T17:22:06,tx,41,9059,7882
1782663726.771,2026-06-28T17:22:06,rx,64,9123,7882
1782663727.005,2026-06-28T17:22:07,tx,41,9123,7923
1782663727.248,2026-06-28T17:22:07,rx,64,9187,7923
1782663727.526,2026-06-28T17:22:07,tx,41,9187,7964
1782663727.800,2026-06-28T17:22:07,rx,64,9251,7964
1782663728.030,2026-06-28T17:22:08,tx,41,9251,8005
1782663728.280,2026-06-28T17:22:08,rx,64,9315,8005
1782663728.623,2026-06-28T17:22:08,tx,41,9315,8046
1782663729.040,2026-06-28T17:22:09,rx,64,9379,8046
1782663729.793,2026-06-28T17:22:09,tx,41,9379,8087
1782663730.046,2026-06-28T17:22:10,rx,64,9443,8087
1782663730.285,2026-06-28T17:22:10,tx,41,9443,8128
1782663730.577,2026-06-28T17:22:10,rx,64,9507,8128
1782663731.263,2026-06-28T17:22:11,tx,41,9507,8169
1782663731.552,2026-06-28T17:22:11,rx,64,9571,8169
1782663731.800,2026-06-28T17:22:11,tx,41,9571,8210
1782663732.021,2026-06-28T17:22:12,rx,64,9635,8210
1782663732.291,2026-06-28T17:22:12,tx,41,9635,8251
1782663732.556,2026-06-28T17:22:12,rx,64,9699,8251
1782663732.774,2026-06-28T17:22:12,tx,41,9699,8292
1782663733.012,2026-06-28T17:22:13,rx,64,9763,8292
1782663733.281,2026-06-28T17:22:13,tx,41,9763,8333
1782663733.563,2026-06-28T17:22:13,rx,64,9827,8333
1782663733.786,2026-06-28T17:22:13,tx,41,9827,8374
1782663734.025,2026-06-28T17:22:14,rx,64,9891,8374
1782663734.300,2026-06-28T17:22:14,tx,41,9891,8415
1782663734.589,2026-06-28T17:22:14,rx,64,9955,8415
1782663734.818,2026-06-28T17:22:14,tx,41,9955,8456
1782663735.102,2026-06-28T17:22:15,rx,64,10019,8456
1782663735.377,2026-06-28T17:22:15,tx,41,10019,8497
1782663735.613,2026-06-28T17:22:15,rx,64,10083,8497
1782663735.890,2026-06-28T17:22:15,tx,41,10083,8538
1782663736.169,2026-06-28T17:22:16,rx,64,10147,8538
1782663736.402,2026-06-28T17:22:16,tx,41,10147,8579
1782663736.645,2026-06-28T17:22:16,rx,64,10211,8579
1782663736.920,2026-06-28T17:22:16,tx,41,10211,8620
1782663737.192,2026-06-28T17:22:17,rx,64,10275,8620
1782663737.421,2026-06-28T17:22:17,tx,41,10275,8661
1782663737.655,2026-06-28T17:22:17,rx,64,10339,8661
1782663737.918,2026-06-28T17:22:17,tx,41,10339,8702
1782663738.600,2026-06-28T17:22:18,rx,64,10403,8702
1782663738.831,2026-06-28T17:22:18,tx,41,10403,8743
1782663739.068,2026-06-28T17:22:19,rx,64,10467,8743
1782663739.334,2026-06-28T17:22:19,tx,41,10467,8784
1782663739.605,2026-06-28T17:22:19,rx,64,10531,8784
1782663739.834,2026-06-28T17:22:19,tx,41,10531,8825
1782663740.114,2026-06-28T17:22:20,rx,64,10595,8825
1782663740.395,2026-06-28T17:22:20,tx,41,10595,8866
1782663740.631,2026-06-28T17:22:20,rx,64,10659,8866
1782663741.293,2026-06-28T17:22:21,tx,41,10659,8907
1782663741.569,2026-06-28T17:22:21,rx,64,10723,8907
1782663741.802,2026-06-28T17:22:21,tx,41,10723,8948
1782663742.037,2026-06-28T17:22:22,rx,64,10787,8948
1782663742.277,2026-06-28T17:22:22,tx,41,10787,8989
1782663742.553,2026-06-28T17:22:22,rx,64,10851,8989
1782663742.774,2026-06-28T17:22:22,tx,41,10851,9030
1782663742.987,2026-06-28T17:22:22,rx,64,10915,9030
1782663743.241,2026-06-28T17:22:23,tx,41,10915,9071
1782663743.500,2026-06-28T17:22:23,rx,64,10979,9071
1782663743.713,2026-06-28T17:22:23,tx,41,10979,9112
1782663743.985,2026-06-28T17:22:23,rx,64,11043,9112
1782663744.250,2026-06-28T17:22:24,tx,41,11043,9153
1782663744.474,2026-06-28T17:22:24,rx,64,11107,9153
1782663744.690,2026-06-28T17:22:24,tx,41,11107,9194
1782663744.966,2026-06-28T17:22:24,rx,64,11171,9194
1782663745.216,2026-06-28T17:22:25,tx,41,11171,9235
1782663745.440,2026-06-28T17:22:25,rx,64,11235,9235
1782663745.646,2026-06-28T17:22:25,tx,41,11235,9276
1782663745.915,2026-06-28T17:22:25,rx,64,11299,9276
1782663746.212,2026-06-28T17:22:26,tx,41,11299,9317
1782663746.450,2026-06-28T17:22:26,rx,64,11363,9317
1782663746.717,2026-06-28T17:22:26,tx,41,11363,9358
1782663747.001,2026-06-28T17:22:27,rx,64,11427,9358
1782663747.227,2026-06-28T17:22:27,tx,41,11427,9399
1782663747.462,2026-06-28T17:22:27,rx,64,11491,9399
1782663747.725,2026-06-28T17:22:27,tx,41,11491,9440
1782663748.012,2026-06-28T17:22:28,rx,64,11555,9440
1782663748.223,2026-06-28T17:22:28,tx,41,11555,9481
1782663748.851,2026-06-28T17:22:28,rx,64,11619,9481
1782663749.117,2026-06-28T17:22:29,tx,41,11619,9522
1782663749.339,2026-06-28T17:22:29,rx,64,11683,9522
1782663749.565,2026-06-28T17:22:29,tx,41,11683,9563
1782663749.837,2026-06-28T17:22:29,rx,64,11747,9563
1782663750.111,2026-06-28T17:22:30,tx,41,11747,9604
1782663750.327,2026-06-28T17:22:30,rx,64,11811,9604
1782663750.550,2026-06-28T17:22:30,tx,41,11811,9645
1782663750.819,2026-06-28T17:22:30,rx,64,11875,9645
1782663751.449,2026-06-28T17:22:31,tx,41,11875,9686
1782663751.664,2026-06-28T17:22:31,rx,64,11939,9686
1782663751.916,2026-06-28T17:22:31,tx,41,11939,9727
1782663752.200,2026-06-28T17:22:32,rx,64,12003,9727
1782663752.434,2026-06-28T17:22:32,tx,41,12003,9768
1782663752.723,2026-06-28T17:22:32,rx,64,12067,9768
1782663753.000,2026-06-28T17:22:32,tx,41,12067,9809
1782663753.229,2026-06-28T17:22:33,rx,64,12131,9809
1782663753.453,2026-06-28T17:22:33,tx,41,12131,9850
1782663753.719,2026-06-28T17:22:33,rx,64,12195,9850
1782663753.978,2026-06-28T17:22:33,tx,41,12195,9891
1782663754.213,2026-06-28T17:22:34,rx,64,12259,9891
1782663754.457,2026-06-28T17:22:34,tx,41,12259,9932
1782663754.744,2026-06-28T17:22:34,rx,64,12323,9932
1782663755.029,2026-06-28T17:22:35,tx,41,12323,9973
1782663755.283,2026-06-28T17:22:35,rx,64,12387,9973
1782663755.515,2026-06-28T17:22:35,tx,41,12387,10014
1782663755.789,2026-06-28T17:22:35,rx,64,12451,10014
1782663756.062,2026-06-28T17:22:36,tx,41,12451,10055
1782663756.294,2026-06-28T17:22:36,rx,64,12515,10055
