cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
643,82.1326,29481.282,178.6744,41.492,0.0,27.5,27.4
644,82.1074,29522.761,178.9258,41.479,0.0,27.5,27.39
645,82.0823,29564.228,179.1771,41.466,0.0,27.5,27.39
646,82.0572,29605.681,179.4284,41.454,0.0,27.5,27.38
647,82.032,29647.122,179.6795,41.441,0.0,27.5,27.37
648,82.0069,29688.551,179.9306,41.428,0.0,27.5,27.36
649,81.9818,29729.966,180.1816,41.416,0.0,27.5,27.36
650,81.9567,29771.369,180.4325,41.403,0.0,27.5,27.35
651,81.9317,29812.759,180.6834,41.39,0.0,27.5,27.34
652,81.9066,29854.137,180.9342,41.378,0.0,27.5,27.33
653,81.8815,29895.502,181.1849,41.365,0.0,27.5,27.33
654,81.8565,29936.854,181.4355,41.352,0.0,27.5,27.32
655,81.8314,29978.194,181.686,41.34,0.0,27.5,27.31
656,81.8064,30019.521,181.9365,41.327,0.0,27.5,27.31
657,81.7813,30060.835,182.1869,41.314,0.0,27.5,27.3
658,81.7563,30102.137,182.4372,41.302,0.0,27.5,27.29
659,81.7313,30143.426,182.6874,41.289,0.0,27.5,27.28
660,81.7062,30184.702,182.9376,41.276,0.0,27.5,27.28
661,81.6812,30225.952,183.1876,41.25,0.0,27.5,27.5
662,81.6562,30267.202,183.4376,41.25,0.0,27.5,27.5
663,81.6312,30308.44,183.6875,41.238,0.0,27.5,27.49
664,81.6063,30349.666,183.9374,41.226,0.0,27.5,27.49
665,81.5813,30390.88,184.1871,41.213,0.0,27.5,27.48
666,81.5563,30432.08,184.4368,41.201,0.0,27.5,27.47
667,81.5314,30473.268,184.6865,41.188,0.0,27.5,27.46
668,81.5064,30514.444,184.936,41.175,0.0,27.5,27.46
669,81.4815,30555.606,185.1855,41.163,0.0,27.5,27.45
670,81.4565,30596.757,185.4349,41.15,0.0,27.5,27.44
671,81.4316,30637.894,185.6842,41.138,0.0,27.5,27.44
672,81.4067,30679.019,185.9335,41.125,0.0,27.5,27.43
673,81.3817,30720.132,186.1826,41.112,0.0,27.5,27.42
674,81.3568,30761.232,186.4317,41.1,0.0,27.5,27.41
675,81.3319,30802.319,186.6807,41.087,0.0,27.5,27.41
676,81.307,30843.394,186.9297,41.075,0.0,27.5,27.4
677,81.2821,30884.456,187.1785,41.062,0.0,27.5,27.39
678,81.2573,30925.505,187.4273,41.05,0.0,27.5,27.39
679,81.2324,30966.542,187.676,41.037,0.0,27.5,27.38
680,81.2075,31007.567,187.9246,41.024,0.0,27.5,27.37
681,81.1827,31048.579,188.1732,41.012,0.0,27.5,27.36
682,81.1578,31089.578,188.4217,40.999,0.0,27.5,27.36
683,81.133,31130.565,188.6701,40.987,0.0,27.5,27.35
684,81.1082,31171.539,188.9184,40.974,0.0,27.5,27.34
685,81.0833,31212.501,189.1667,40.962,0.0,27.5,27.34
686,81.0585,31253.45,189.4148,40.949,0.0,27.5,27.33
687,81.0337,31294.386,189.6629,40.937,0.0,27.5,27.32
688,81.0089,31335.31,189.911,40.924,0.0,27.5,27.31
689,80.9841,31376.222,190.1589,40.912,0.0,27.5,27.31
690,80.9593,31417.121,190.4068,40.899,0.0,27.5,27.3
691,80.9345,31458.008,190.6546,40.887,0.0,27.5,27.29
692,80.9098,31498.882,190.9023,40.874,0.0,27.5,27.29
693,80.885,31539.743,191.15,40.861,0.0,27.5,27.28
694,80.8602,31580.592,191.3975,40.849,0.0,27.5,27.27
695,80.8355,31621.425,191.645,40.833,0.0,27.5,27.5
696,80.8108,31662.249,191.8924,40.824,0.0,27.5,27.49
697,80.786,31703.061,192.1398,40.811,0.0,27.5,27.49
698,80.7613,31743.86,192.387,40.799,0.0,27.5,27.48
699,80.7366,31784.646,192.6342,40.787,0.0,27.5,27.47
700,80.7119,31825.42,192.8813,40.774,0.0,27.5,27.47
701,80.6872,31866.182,193.1284,40.762,0.0,27.5,27.46
702,80.6625,31906.931,193.3753,40.749,0.0,27.5,27.45
703,80.6378,31947.668,193.6222,40.737,0.0,27.5,27.44
704,80.6131,31988.392,193.869,40.724,0.0,27.5,27.44
